NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,VACCINATED_FIRST_DOSIS_NBR,VACCINATED_SECOND_DOSIS_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE
11001,M,30-39,1,0,772,26,24,Aartselaar,Antwerpen,Vlaams Gewest,RupeLaar
11001,M,10-19,0,0,632,0,0,Aartselaar,Antwerpen,Vlaams Gewest,RupeLaar
11007,V,60-69,1,1,323,11,8,Borsbeek,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
13010,M,10-19,0,0,441,0,0,Grobbendonk,Antwerpen,Vlaams Gewest,Middenkempen
23002,M,10-19,0,0,1621,0,0,Asse,Vlaams-Brabant,Vlaams Gewest,AMALO
11023,M,50-59,1,0,2049,46,48,Kapellen,Antwerpen,Vlaams Gewest,Noorderkempen
12002,V,40-49,1,0,776,71,73,Berlaar,Antwerpen,Vlaams Gewest,Pallieterland
13053,V,70-79,1,1,710,16,16,Laakdal,Antwerpen,Vlaams Gewest,Zuiderkempen
23105,V,20-29,1,0,663,62,49,Affligem,Vlaams-Brabant,Vlaams Gewest,AMALO
11035,V,60-69,1,1,592,22,26,Ranst,Antwerpen,Vlaams Gewest,Pallieterland
13035,M,80-89,1,1,273,87,12,Ravels,Antwerpen,Vlaams Gewest,Kempenland
11053,M,10-19,0,0,945,0,0,Wuustwezel,Antwerpen,Vlaams Gewest,Noorderkempen
13031,M,90-100+,1,1,34,28,11,Oud-Turnhout,Antwerpen,Vlaams Gewest,Kempenland
23025,V,10-19,1,0,432,4,7,Grimbergen,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen
24038,M,40-49,1,0,1342,47,68,Herent,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid
23002,M,90-100+,1,1,95,86,19,Asse,Vlaams-Brabant,Vlaams Gewest,AMALO
36007,M,10-19,1,0,107,0,2,Ingelmunster,West-Vlaanderen,Vlaams Gewest,RITS
11021,M,30-39,1,0,370,18,15,Hove,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
24038,V,90-100+,1,1,172,107,81,Herent,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid
12007,M,10-19,1,0,249,1,4,Bornem,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland
11008,V,20-29,1,0,1957,158,137,Brasschaat,Antwerpen,Vlaams Gewest,Noorderkempen
12040,M,10-19,0,0,1399,0,0,Willebroek,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland
71016,V,10-19,0,0,3049,0,3,Genk,Limburg,Vlaams Gewest,Kemp en Duin
13017,V,0-9,0,0,890,0,0,Kasterlee,Antwerpen,Vlaams Gewest,Middenkempen
11040,M,60-69,1,1,957,23,19,Schoten,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid
23045,M,80-89,1,1,397,128,39,Londerzeel,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen
13053,M,10-19,1,0,142,2,1,Laakdal,Antwerpen,Vlaams Gewest,Zuiderkempen
23050,V,40-49,1,0,1224,73,71,Meise,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen
24055,V,60-69,1,1,504,23,17,Kortenberg,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid
23062,M,80-89,1,1,549,114,30,Overijse,Vlaams-Brabant,Vlaams Gewest,Druivenstreek
24059,M,50-59,1,0,1181,53,32,Landen,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
24107,M,60-69,1,0,1110,30,70,Tienen,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
36007,M,80-89,1,1,290,66,29,Ingelmunster,West-Vlaanderen,Vlaams Gewest,RITS
32003,M,60-69,1,0,559,17,17,Diksmuide,West-Vlaanderen,Vlaams Gewest,Westkust&Polder
41002,V,20-29,1,0,4918,385,348,Aalst,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst
37007,M,10-19,0,0,482,0,0,Meulebeke,West-Vlaanderen,Vlaams Gewest,RITS
23088,V,80-89,1,1,1051,219,151,Vilvoorde,Vlaams-Brabant,Vlaams Gewest,BraViO
43007,M,60-69,1,0,223,5,10,Kaprijke,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland
72018,V,30-39,1,0,681,86,44,Kinrooi,Limburg,Vlaams Gewest,Maasland
72038,M,40-49,1,0,732,29,21,Hechtel-Eksel,Limburg,Vlaams Gewest,Noord-Limburg
36006,M,20-29,1,0,577,15,18,Hooglede,West-Vlaanderen,Vlaams Gewest,Midden WVL
42006,M,90-100+,1,1,121,99,34,Dendermonde,Oost-Vlaanderen,Vlaams Gewest,Dender
44081,M,20-29,1,0,908,23,15,Zulte,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie
13006,M,80-89,1,1,196,3,25,Dessel,Antwerpen,Vlaams Gewest,Baldemore
13014,M,20-29,1,0,1284,19,19,Hoogstraten,Antwerpen,Vlaams Gewest,Kempenland
46021,M,20-29,1,0,4701,139,70,Sint-Niklaas,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland
71004,V,60-69,1,1,1308,34,37,Beringen,Limburg,Vlaams Gewest,West-Limburg
24054,V,10-19,0,0,322,0,3,Kortenaken,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
45064,V,20-29,1,0,352,35,24,Maarkedal,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
45068,M,90-100+,1,1,52,41,17,Kruisem,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
37011,M,60-69,1,0,220,7,5,Pittem,West-Vlaanderen,Vlaams Gewest,RITS
24059,V,20-29,1,0,761,55,55,Landen,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
13004,M,70-79,1,1,746,7,24,Beerse,Antwerpen,Vlaams Gewest,Kempenland
13046,V,0-9,0,0,608,0,0,Vosselaar,Antwerpen,Vlaams Gewest,Kempenland
12025,M,60-69,1,1,1980,109,45,Mechelen,Antwerpen,Vlaams Gewest,Mechelen - Katelijne
23025,M,60-69,1,1,887,41,30,Grimbergen,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen
34003,M,40-49,1,0,648,18,7,Avelgem,West-Vlaanderen,Vlaams Gewest,Regio Waregem
24001,V,60-69,1,0,1061,54,106,Aarschot,Vlaams-Brabant,Vlaams Gewest,Demerland
34003,V,40-49,1,0,646,76,87,Avelgem,West-Vlaanderen,Vlaams Gewest,Regio Waregem
34027,V,60-69,1,0,985,61,85,Menen,West-Vlaanderen,Vlaams Gewest,Regio Menen
41024,M,60-69,1,1,510,3,10,Haaltert,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst
41082,V,50-59,1,0,1537,110,144,Erpe-Mere,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst
42006,V,10-19,0,0,1910,1,8,Dendermonde,Oost-Vlaanderen,Vlaams Gewest,Dender
42008,M,10-19,0,0,1227,0,1,Hamme,Oost-Vlaanderen,Vlaams Gewest,Dender
31022,M,60-69,1,0,754,28,37,Oostkamp,West-Vlaanderen,Vlaams Gewest,WE40
44085,V,40-49,1,0,1617,194,177,Lievegem,Oost-Vlaanderen,Vlaams Gewest,West-Meetjesland
71069,M,90-100+,1,1,19,11,6,Ham,Limburg,Vlaams Gewest,West-Limburg
11050,V,30-39,1,0,577,48,31,Wijnegem,Antwerpen,Vlaams Gewest,Voorkempen
23016,M,90-100+,1,1,154,142,59,Dilbeek,Vlaams-Brabant,Vlaams Gewest,Pajottenland
46003,M,90-100+,1,1,127,74,38,Beveren,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland
34025,V,60-69,1,0,192,10,18,Lendelede,West-Vlaanderen,Vlaams Gewest,RITS
37017,M,80-89,1,1,175,51,18,Wielsbeke,West-Vlaanderen,Vlaams Gewest,Regio Waregem
38016,V,30-39,1,0,498,46,43,Nieuwpoort,West-Vlaanderen,Vlaams Gewest,Westkust&Polder
